Area Type,Availability,Location,Size,Society,Total Sqft,Balcony,Price,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,1.0,38.0,5/14/22,1.0,6500.0,250.0,1 out of 4,Carpet Area,"Tarulia, Keshtopur",Kolkata,Furnished,Bachelors,1.0,Contact Owner
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,40.0,5/9/22,1.0,5500.0,375.0,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Agent
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,2.0,148.0,5/5/22,3.0,8500.0,900.0,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,73.5,6/1/22,3.0,40000.0,1286.0,1 out of 1,Carpet Area,New Town Action Area 1,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,2.0,48.0,5/17/22,2.0,6000.0,600.0,1 out of 2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,60.0,6/20/22,2.0,10000.0,800.0,Ground out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,2.0,290.0,6/9/22,2.0,11000.0,2000.0,Ground out of 3,Carpet Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,48.0,6/9/22,2.0,6000.0,660.0,1 out of 2,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,15.0,7/2/22,2.0,7900.0,650.0,1 out of 2,Carpet Area,Santoshpur,Kolkata,Unfurnished,Family,1.0,Contact Owner
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,1.0,122.0,6/14/22,2.0,9000.0,400.0,2 out of 3,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors,2.0,Contact Owner
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,2.0,380.0,6/15/22,1.0,4000.0,300.0,Ground out of 4,Carpet Area,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,1.0,103.0,6/15/22,3.0,6500.0,1600.0,Ground out of 2,Super Area,Joka,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,0.0,25.25,5/28/22,1.0,8000.0,400.0,1 out of 2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,2.0,56.0,5/22/22,2.0,7000.0,1000.0,1 out of 1,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,23.1,6/18/22,1.0,5300.0,355.0,1 out of 1,Carpet Area,Dum Dum,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,2.0,81.0,6/25/22,2.0,6000.0,1000.0,Ground out of 3,Super Area,"Kodalia, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,48.77,6/22/22,2.0,8500.0,800.0,4 out of 5,Super Area,Baguiati,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,1.0,47.0,6/25/22,2.0,12500.0,850.0,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,0.0,186.0,5/21/22,1.0,7500.0,350.0,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,1.0,35.0,6/26/22,2.0,15000.0,900.0,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,123.0,6/16/22,2.0,6000.0,550.0,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,57.39,6/29/22,2.0,5000.0,500.0,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,,125.0,5/10/22,3.0,22000.0,1100.0,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,1.0,36.0,5/12/22,2.0,15000.0,850.0,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,1.0,45.5,6/3/22,2.0,12500.0,800.0,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1.0,Contact Agent
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,2.0,125.0,5/31/22,2.0,7000.0,630.0,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,56.12,6/10/22,2.0,21000.0,900.0,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2.0,Contact Owner
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,45.0,6/24/22,1.0,10000.0,270.0,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,,81.0,6/29/22,2.0,7200.0,630.0,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,2.0,38.0,5/12/22,3.0,12000.0,1500.0,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2.0,Contact Owner
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,0.0,38.0,6/26/22,1.0,5000.0,600.0,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,0.0,48.0,4/30/22,2.0,8500.0,700.0,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,91.79,5/27/22,1.0,6000.0,300.0,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,,200.0,6/6/22,2.0,10000.0,1300.0,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,0.0,33.0,5/20/22,2.0,4600.0,400.0,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Owner
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,1.0,94.82,7/2/22,2.0,12000.0,650.0,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2.0,Contact Owner
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,130.0,5/26/22,3.0,30000.0,2000.0,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,1.0,36.0,5/12/22,3.0,15000.0,1068.0,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,1.0,50.0,6/22/22,1.0,7500.0,150.0,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,1.0,99.0,6/25/22,1.0,7500.0,450.0,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,2.0,91.0,7/3/22,2.0,5000.0,800.0,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,75.0,4/23/22,2.0,15000.0,1000.0,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,3.0,75.0,5/14/22,2.0,11000.0,900.0,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,44.0,5/27/22,1.0,7000.0,600.0,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,192.0,6/19/22,2.0,6000.0,1200.0,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,185.0,6/19/22,2.0,6000.0,1200.0,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2.0,Contact Owner
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,1.0,150.0,7/2/22,2.0,7000.0,650.0,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,45.0,7/6/22,2.0,8500.0,720.0,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,2.0,240.0,7/2/22,1.0,5000.0,300.0,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,1.0,55.0,6/21/22,3.0,30000.0,1200.0,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3.0,Contact Agent
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,3.0,650.0,6/4/22,2.0,10000.0,700.0,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,44.0,6/24/22,3.0,30000.0,2000.0,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,0.0,140.0,5/14/22,1.0,3500.0,250.0,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,1.0,62.0,6/26/22,2.0,8000.0,1100.0,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,3.0,43.0,7/2/22,1.0,5000.0,300.0,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,1.0,57.0,5/5/22,2.0,7500.0,600.0,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,0.0,85.0,5/18/22,2.0,6500.0,800.0,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,1.0,36.68,6/7/22,1.0,7500.0,680.0,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,2.0,100.0,6/7/22,1.0,7500.0,680.0,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,1.0,80.58,6/26/22,2.0,16000.0,850.0,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,1.0,101.0,6/26/22,2.0,16000.0,850.0,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,1.0,70.0,5/30/22,2.0,6500.0,700.0,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,2.0,140.0,5/22/22,3.0,40000.0,1500.0,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,1.0,48.23,6/18/22,2.0,12500.0,950.0,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,3.0,40.0,6/8/22,2.0,5500.0,500.0,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,205.0,6/25/22,1.0,5000.0,450.0,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,0.0,22.0,5/3/22,2.0,6500.0,700.0,Ground out of 2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1.0,Contact Owner
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,3.0,250.0,5/12/22,1.0,8000.0,500.0,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,105.0,6/1/22,3.0,14500.0,1800.0,Ground out of 2,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,,224.5,5/23/22,1.0,8200.0,500.0,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,78.0,5/23/22,2.0,15000.0,480.0,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,60.8,6/21/22,6.0,20000.0,1000.0,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,2.0,102.0,6/22/22,2.0,6700.0,800.0,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,2.0,210.0,5/27/22,1.0,10000.0,435.0,2 out of 3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,2.0,88.0,5/7/22,2.0,7000.0,700.0,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,37.0,6/25/22,2.0,22000.0,800.0,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1.0,Contact Agent
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,58.06,6/27/22,2.0,6500.0,450.0,1 out of 3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,3.0,160.0,5/31/22,2.0,8500.0,550.0,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,70.0,6/3/22,2.0,18000.0,800.0,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2.0,Contact Agent
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,1.0,28.88,6/27/22,2.0,12000.0,550.0,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2.0,Contact Owner
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2.0,70.0,5/15/22,1.0,9000.0,600.0,2 out of 4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,2.0,155.0,6/9/22,1.0,6000.0,500.0,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,3.0,80.0,4/28/22,2.0,20000.0,1000.0,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,2.0,90.0,5/23/22,1.0,5000.0,300.0,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,1.0,245.0,6/28/22,2.0,12000.0,1200.0,1 out of 3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,1.0,48.0,6/23/22,2.0,10000.0,500.0,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,1.0,65.0,4/29/22,4.0,18000.0,1200.0,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2.0,Contact Owner
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,1.0,90.0,6/13/22,2.0,15000.0,900.0,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,138.0,6/13/22,3.0,22000.0,1300.0,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3.0,Contact Agent
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,17.0,6/13/22,4.0,35000.0,1600.0,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3.0,Contact Agent
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,1.0,150.0,5/14/22,3.0,21000.0,1450.0,Ground out of 1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,43.0,7/6/22,2.0,25000.0,1100.0,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2.0,Contact Agent
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,50.0,6/16/22,2.0,180000.0,950.0,Ground out of 1,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2.0,49.9,6/6/22,1.0,6000.0,600.0,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,1.0,98.0,7/4/22,2.0,14000.0,700.0,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,2.0,229.0,5/15/22,3.0,8000.0,750.0,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1.0,Contact Owner
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2.0,55.68,5/4/22,2.0,8000.0,1000.0,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,66.78,4/25/22,1.0,6000.0,220.0,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3.0,120.0,5/21/22,1.0,8000.0,300.0,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1.0,Contact Agent
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,75.0,6/27/22,1.0,6000.0,300.0,Ground out of 1,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1.0,Contact Agent
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,1.0,51.91,7/2/22,1.0,20000.0,700.0,1 out of 2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,1.0,45.9,7/6/22,3.0,12000.0,800.0,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,3700,1.0,225.0,4/28/22,3.0,15000.0,1600.0,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2.0,Contact Owner
